乘隙 顺便
地道 隧道
冷清 岑寂
无伤大雅 无关大局
索取 索要
技高一筹 略胜一筹
平凡 平淡
阻挠 阻碍
报告 通知
延选 遴选
若隐若显 隐隐约约
得胜 成功
博览群书 博闻强记
家鸡野雉 家鸡野鹜
爽快 爽朗
家徒壁立 环堵萧然
选贤与能 选贤任能
行尸走肉 走肉行尸
心惊肉跳 胆颤心惊
地广人稀 地旷人稀
侵占 霸占
喝斥 责问
显示 流露
领袖 领袖
万夫不当 无所畏惧
回绕 缭绕
协心同力 齐心协力
绩学之士 饱学之士
痛苦 难过
应承 答应
坦怀相待 推心致腹
炙手可热 烜赫一时
心惊胆颤 怦然心动
倩丽 娇艳
佐治 襄理
覆巢倾卵 覆巢破卵
补助 辅助
暗示 默示
掩人耳目 老婆当军
姘妇 贱货
备而不用 有备无患
乐意 痛快
吹毛求疵 吹毛索瘢
战无不胜 无往不利
岁寒松柏 松柏后凋
亲热 热忱
屈曲 愚昧
徒劳无功 海底捞月
浩繁 稠密
安良除暴 除暴安良
口若悬河 娓娓而谈
好事多妨 好事多磨
伪装 装作
悔不当初 追悔莫及
遭逢时会 遭遇际会
朴实 陈恳
吞吞吐吐 嗫嗫嚅嚅
粗野 野蛮
灵活 矫捷
知名 闻名
估计 算计
议决 议定
暴毙 猝死
大白 明白
门不夜关 门不夜扃
一往无前 所向披靡
切齿腐心 深恶痛绝
深仇大恨饱经风霜 苦大仇深
滞碍 阻碍
尊重 爱戴
亨衢 通衢
口似悬河 口若悬河
健步如飞 急若流星
节制 限制
优良 崇高
巡查 梭巡
有恃不恐 有恃毋恐
东零西散 东零西碎
人皮客栈 客栈
三番两次 二次三番
焦心 焦虑
回国 归国
关心 眷注
低劣 低装
野人奏曝 野人献曝
探求 推度
完善 完好
渐渐 缓缓
多见 常见
省悟 醒悟
学友 校友
思索 思考
彰往察来 彰往考来
从新 重新
技艺 武艺
不闻不问 闭目塞听
坐井观天 管窥之见
奇伟磅礴 气势磅礴
弄巧成拙 画虎不成
前所未有 无与比伦
找寻 探索
决断 决议
养虎遗患 后患无穷
叨光 打扰
柔和 柔软
四不像 怪样子
威武不屈 宁死不屈
无理 畸形
痴人说梦 荒诞不经
讲义 课本
感染 浸润
先辈 前辈
保暖 御寒
停懈 松懈
一笔抹摋 一笔抹煞
沁人心脾 芬芳馥郁
怅恨 怨恨
清白 雪白
转移 迁移
支吾 苟且
愚昧 痴呆
标帜 记号
交易 往还
亮光 光线
一无所有 一穷二白
闺房 闺阁
惊呀 诧异
着名 驰名
坚贞不渝 始终如一
挽留 遮挽
灭绝 绝迹
夙昔 往时
不修小节 不拘小节
为蛇添足 为蛇画足
滋扰 骚扰
苌弘化碧 苌弘碧血
巨大 强大
大是大非 泾渭分明
心明眼亮 耳聪目明
翠绿 青葱
方正 耿介
乏味 蹩脚
出人预料 意想不到
两泪汪汪 泪如雨下
作奸犯科 胡作非为
卓立 挺立
审核 查核
好汉 豪杰
幸运 走运
简直 险些
担搁 拖延
搪塞 苟且
开疆拓土 开疆辟土
寻求 追求
姿态 状貌
欢乐 欢笑
怫郁 愤懑
群情 言论
一夫之勇 匹夫之勇
一孔之见 孤陋寡闻
删改 窜改
漂泊 漂流
离开 脱离
打算 计算
告慰 慰藉
避其锐气 避实击虚
窍门 诀窍
月晦 月终
咂嘴咂舌 咂嘴舔唇
庄重 矜重
匠心独运 独具匠心
石沉大海 称锤落井
全面 所有
反宾为主 喧宾夺主
一会 片时
撕心裂肺 肝胆俱裂
同心同德 心心相印
口舌 辱骂
准绳 原则
减少 节略
冲击 膺惩
泄漏 走漏
存身 藏身
赔礼 赔罪
凋谢 雕残
希罕 特别
光明正大 明堂正道
半信半疑 疑信参半
轻浮 飘浮
命中注定 死生有命
垮塌 崩塌
成千累万 成千论万
暗中摸索 豁然开朗
名扬天下 鼎鼎大名
夜长梦多 瞬息万变
壮大 强壮
伛偻 佝偻
寡不敌众 强弱悬殊
瑕不掩瑜 白璧微瑕
冒名顶替 鱼目混珠
敏捷 灵动
委实 确实
生拉硬扯 生拖死拽
剜肉医疮 剜肉补疮
以卵击石 投卵击石
查察 稽查
名贵 珍奇
宁死不屈 视死如归
光脚 赤脚
溃烂 腐化
如堕烟海 如堕烟雾
以貌取人 表里如一
耀武扬威 飞扬跋扈
壶中日月 壶里乾坤
佻达 轻佻
稳健 稳重
复员 转业
作壁上观 缩手旁观
得意忘形 忘乎所以
楚楚可怜 楚楚可爱
嘉赞 赞美
斑斓 艳丽
壮阔 宽阔
安插 部署
作弄 戏弄
全神贯注 目不转睛
七颠八倒 五角六张
批准 核准
戒指 限度
顽固不化 食古不化
咸集 集合
少见多怪 见怪不怪
一往情深 情意绵绵
曲终奏雅 美满收场
拥入 挤入
存候 慰劳
叱责 呵斥
疑神疑鬼 疑邻盗斧
刀枪入库 安居乐业
教导 领导
园地 场地
以汤止沸 以汤沃沸
造次颠沛 颠沛流离
舍己为人 舍生取义
书信 信件
宽待 宽恕
窒碍 结巴
呕心沥血 殚精竭虑
得寸进尺 贪猥无厌
听之任之 听其自流
相当 非常
幽默 滑稽
倒运 倒霉
整装 治装
善为说辞 阿谀逢迎
人老珠黄 老树枯柴
纠葛 胶葛
拔类超群 超群拔类
否决 破坏
暗喜 窃喜
通行 风行
离婚 离异
楚馆秦楼 秦楼楚馆
同意 附和
痛爱 钟爱
过屠大嚼 过屠门而大嚼
不妨 可能
手腕 花招
动作 行动
张目结舌 瞠目结舌
偶然 未必
躲避 躲闪
主义 目标
狗恶酒酸 酒酸不售
丢弃 放弃
斗劲 比力
气势磅礴 气贯长虹
不移至理 金科玉律
一目了然 一览了然
侵占 并吞
赞扬 颂赞
忠告 箴规
查无实据 没根没据
如果 要是
狠毒 粗暴
户枢不朽 户枢不蝼
资料 远程
信口开河 妄下雌黄
假冒 假意
趁波逐浪 随波逐流
东道主 东道主人
到底 真相
急中生智 计上心头
恒河沙数 车载斗量
智勇兼全 智勇兼资
无计可施 黔驴之技
奸滑 狡黠
信口开河 胡说八道
初次 首次
放荡不羁 荡检逾闲
凤毛麟角 廖若晨星
拐弯抹角 闪烁其词
蓬筚生辉 蓬荜增辉
大祸 横祸
全力 勉力
指指点点 说三道四
加强 巩固
怙顽不悛 顽固不化
天翻地覆 石破天惊
死守 遵守
洁白 皑皑
拟于不伦 拟非其伦
乌鸟私情 慈乌反哺
仓促 匆匆
简明扼要 长篇大论
井井有条 尽然有序
界限 边界
举行 实行
核心 重心
不苟言笑 老成持重
清贫 贫窭
大动干戈 大张旗鼓
险遭不幸 险遭不测
毫不怀疑 深信不疑
滋生 茂盛
暴雨倾盆 狂风暴雨
讨好 谄媚
刻薄 尖酸
狂饮 痛饮
严重 危急
推辞 辞谢
仆仆风尘 风餐露宿
感谢 报答
交战 交锋
添枝加叶 添油加醋
残毁 破败
满腔热情 热血沸腾
启碇 启程
守御 戍守
别出新裁 标新立异
意在言外 话里有话
建筑 建造
充斥 迷漫
复活 更生
夸奖 赞叹
医疗 诊治
坐法 犯罪
人无完人 金无足赤
听而不闻 视而不见
牵挂 缅怀
习俗 风气
文不对题 答非所问
人品 人格
志愿 理想
信手 恪守
侮弄 玩弄
细枝末节 鸡毛蒜皮
轻口薄舌 轻口轻舌
几何 多少
屡见不鲜 熟视无睹
带情阅读 语重心长
扰乱 淆乱
欺软怕硬 畏强欺弱
寂寥 清静
腐化 腐败
天理昭彰 天理难容
寿陵匍匐 寿陵失步
轻车简从 轻骑简从
光临 拜访
怯懦 柔弱
呐喊助威 摇旗呐喊
今朝 目前
心口不一 阳奉阴违
苍翠 葱茏
大白 线路
不解之缘 难解难分
轻言寡信 轻诺寡信
伏低做小 做小伏低
聊以塞责 马马虎虎
察看 查看
鱼烂土崩 鱼烂瓦解
踩踏 踹踏
左右支绌 捉襟见肘
强盛 焕发
放浪形骸 落拓不羁
补选 遴选
议和 讲和
司空见惯 多如牛毛
竣工 终结
时光虚掷 马齿徒增
协理 襄理
蜚短流长 造谣中伤
过期 逾期
威胁 威逼
把握 控制
出众 拔萃
谗谄 陷害
歼灭 消亡
媒妁之言 月下老人
未免 难免
古板 沉静
毛将安傅 相辅相成
严惩不贷 绳之以法
勤能补拙 将勤补拙
销声匿迹 鸣金收兵
任事 任职
一壶千金 中河失船
更调 调动
拒却 断绝
跋前疐后 骑虎难下
若存若亡 若有若无
光彩 光明
欺侮 欺凌
停歇 停滞
氛围 空气
毒头 牛头
行踪 足迹
阔气 阔绰
悲伤 懊丧
震天动地 震天撼地
啧有烦言 怨声载道
威名 威望
原宥 海涵
商讨 接洽
其实 实在
暮楚朝秦 朝秦暮楚
碰到 遭受
明镜高悬 虚堂悬镜
机不可失 趁热打铁
开怀 舒怀
立刻 马上
机密 秘密
画虎不成 画虎类犬
乡村 村落
马齿徒增 马齿徒长
云英之身 云英未嫁
一脉相连 血肉相连
一时 暂时
发达 旺盛
尽头 绝顶
且则 姑且
思索 思量
宁静 安适
探亲 省亲
乔妆打扮 乔装改扮
轶事 逸事
言近意远 言近指远
好事多妨 好事多悭
休息 平息
假设 如果
颓败 颓靡
安谧 平静
万世 永远
气壮山河 英雄得志
拾获 拾遗
沉吟不决 犹豫不决
惊怖 战抖
卵翼 庇护
乐而忘返 流连忘反
分手 别离
掩饰 遮盖
罪不容死 罪不容诛
危险 紧急
兴会 趣味
愉快 欢畅
好多 许多
举棋若定 胸有成竹
消除 祛除
协助 襄助
心荡神摇 心荡神移
宾朋满座 高朋满座
昂扬 昂然
旅行 观光
向火乞儿 狗仗人势
才华 本领
检测 测试
磋商 筹商
格格不入 自相矛盾
公约 协议
蔚然成风 风靡一时
取销 撤废
力挽狂澜 砥柱中流
文房四侯 文房四宝
亏折 亏本
呆似木鸡 呆如木鸡
危言耸听 耸人听闻
慰藉 抚慰
人烟稀少 荒无人烟
龟年鹤寿 龟鹤之年
转变 转折
浪掷 耗费
非同寻常 非同小可
严密 精细
含情脉脉 深情款款
哓哓不停 喋喋不休
称誉 讴歌
渺视 藐视
专横跋扈 为所欲为
撵走 驱逐
深究 究查
握拳透掌 握拳透爪
上树拔梯 过河拆桥
列举 枚举
大庭广众 大廷广众
坐罪 治罪
诀别 阔别
凸起 突出
曙后孤星 曙后星孤
审慎行事 谨慎行事
尽善尽美 无懈可击
污染 玷污
彷徨 踌躇
莫非 难道
乔装 改扮
追本穷源 饮水思源
效劳 服务
有层有次 有条有理
梗直 正直
决裂 分割
吉星高照 大吉大利
惺惺作态 装模作样
明镜高悬 铁面无私
浮夸 虚夸
让位 逊位
清心寡欲 清心少欲
富商巨贾 富商蓄贾
广大 遍及
东施效颦 衣冠优孟
腥风血雨 血雨腥风
致谢 道谢
谈虎色变 谭虎色变
宗旨 目标
仙山楼阁 仙山琼阁
忐忑不安 惊慌失措
藏匿 隐蔽
任意 肆意
保重 珍爱
不甘人后 争先恐后
反败为胜 转危为安
林下风气 林下高风
入场 登场
夜郎自大 目中无人
求教 请问
披发左衽 被发左衽
颜精柳骨 颜骨柳筋
叛变 背叛
寂然 肃静
流行 风行
开发 设备
适可而止 适度可止
羞臊 腼腆
寸善片长 寸长片善
勇往直前 挺身而出
再建 重建
秀气 艳丽
缔结 订立
匹配 成亲
莅临 驾临
各抒己见 各持己见
人非草木 身非木石
心愿 愿望
墟市 市集
咨询 筹议
娓娓而谈 滔滔不绝
揆情度理 揆理度情
敬老慈幼 敬老爱幼
高才疾足 高材捷足
偷袭 掩袭
灾难 磨难
浮荡 漂荡
晚上 黄昏
碍手碍脚 触手碍脚
触手可及 近在咫尺
钟林毓秀 鸾翔凤集
寂聊 枯寂
发现 发觉
不可奈何 无如奈何
毗连 衔接
原本 原来
有意 蓄志
划一 齐截
胡匪 马贼
涕泣 涕零
禁止 遏止
气势嚣张 气势汹汹
从天而下 从天而降
斩新 清新
相接 连接
仁人志士 志士仁人
不义之财 民脂民膏
怕惧 畏俱
方兴未艾 方滋未艾
得失相当 楚弓楚得
妒嫉 嫉恨
放手 罢休
殒身碎首 陨身糜骨
出漏洞 露马脚
垦植 耕耘
芭蕉扇 葵扇
称誉 称道
特性 特质
当选 膺选
经天纬地 经纬天下
兴建 营建
古色古香 雕栏玉砌
神机妙术 神机妙算
伸展 膨胀
交战国 参战国
故态复萌 故态复还
胶着 胶著
狡诈 狡黠
希望 祈望
清除 肃清
精制 雅致
川流不息 络绎不绝
坚强 强硬
优美 美妙
表明 证实
文房四宝 纸墨笔砚
下场 了局
背信弃义 违信背约
真材实料 货真价实
攻击 进击
高招 高着
欢乐 欢喜
轻而易举 顺风吹火
妄言 谎话
吝啬鬼 守财奴
作茧自缚 自掘坟墓
困难 贫乏
纲目 纲领
千姿百态 无奇不有
耐心 耐性
十拿九稳 满有把握
油头粉面 粉墨登场
贪图 阴谋
抵御 抵抗
同舟共济 和衷共济
隐匿 隐藏
走为上策 走为上计
以夜继日 焚膏继晷
制胜 治服
含糊其词 闪烁其词
如牛负重 茹苦含辛
垂死挣扎 束手待毙
安全 安详
固执 执拗
纷乱 错乱
得寸进尺 软土深掘
支持 救援
羽毛丰满 羽翼已成
口碑载道 有口皆碑
灿烂 辉煌
厨子 火头
放纵 纵脱
明枪暗箭 离心离德
委以心腹 推心致腹
浅尝辄止 薛谭学讴
当立之年 而立之年
砺兵秣马 砺戈秣马
乡里 家乡
墙倒众人推 扶危济困
将就 马虎
口如悬河 吐露心腹
沟通 疏导
放任 放荡
光明正大 襟怀坦白
狼号鬼哭 鬼哭狼嚎
平心易气 心平气和
实事求是 捕风捉影
固执 死板
荆棘 阻挡
迥乎不同 迥然不同
少顷 片刻
驽马 驽骀
额手相庆 额手称颂
浑厚 淳朴
突出 超过
形似 相似
聪慧 贤慧
狡辩 诡辩
容光焕发 神采焕发
贪婪官吏 贪官污吏
唆使 挑唆
光彩 光辉
僻静 平静
何况 而况
实情 底细
藕断丝连 藕断丝长
悠久 悠远
心灵手巧 心灵手敏
叫嚣 喧嚷
并驾齐驱 齐驱并驾
衣冠禽兽 马牛襟裾
完备 齐备
有名 知名
惊奇 讶异
编纂 编辑
乏味 没趣
倒塌 倾圮
沧海桑田 饱经忧患
湮没 隐藏
督工 管工
言论 谈吐
怒不可遏 怒目切齿
盛极一时 风靡一时
宽广 无边
点缀 衬托
英姿勃勃 英姿勃发
暗盘 黑市
名人 名士
怒气冲冲 火冒三丈
众矢之的 怨声载道
即刻 立地
丧生 死灭
大战 战役
垂头丧气 自怨自艾
矜持 自持
心灰意冷 意懒心灰
所向披靡 百战不殆
付与 授予
文过饰非 讳疾忌医
惊叹 惊奇
发纵指使 发纵指示
庞杂 纷乱
外乡 本土
以毒攻毒 以眼还眼
井井有条 有层有次
忙里偷闲 苦中作乐
茂密 茂盛
孔多 浩繁
设立 设置
张惶失措 张皇失措
变态 失常
伶牙俐齿 对答如流
门径 门路
疆城 领土
脸庞 面容
千千万万 成千上万
化整为零 化零为整
对于 对待
欺世盗名 沽名钓誉
大白 明晰
直抒己见 直言不讳
同心协力 同甘共苦
报答 酬报
呵斥 申斥
劈头 起源
无足轻重 秋毫之末
会萃 聚集
如汤泼雪 如汤浇雪
老牛破车 蜗行牛步
干练 熟练
三令五申 三申五令
聚合 集合
延误 贻误
暗杀 暗算
一面之交 萍水相逢
安谧 安靖
半响 少焉
不啻天渊 天壤之别
漂泊 漂荡
怀抱 胸襟
义不容辞 义无反顾
将就 苟且
奔忙 奔波
丫鬟 女仆
中西合璧 亦中亦西
捐赠 赈济
姑且 暂且
心情 情感
发迹 荣达
唆使 指使
坚贞不屈 坚韧不拔
怒火中烧 怒目切齿
博学多闻 博洽多闻
自作自受 自投罗网
皎洁 雪白
商标 字号
雄伟 魁梧
娴静 文静
察言观色 观风问俗
伴同 伴随
杀害 蹂躏
分别 差异
意会 领路
孑然一身 踽踽独行
兴盛 强盛
器具 器用
凉爽 阴凉
趁势 顺势
搬家 搬迁
聚集 齐集
毕生 终生
吉人天相 天相吉人
开诚相见 肝胆照人
蹑蹻担簦 蹑蹻檐簦
问牛知马 问羊知马
情义 情谊
好吃懒做 游手好闲
添枝加叶 节外生枝
清楚 认识
刚正 坚强
倒戈 叛逆
无所不有 比比皆是
迷途知反 迷途知返
担心 顾忌
妖魔鬼怪 马面牛头
尽心尽力 殚精竭力
轻蔑 鄙视
光后 晶莹
喷射 放射
拘留 逮捕
佳作 杰作
游移不定 犹豫不决
亡故 陨命
俄顷 有顷
循次进取 论资排辈
复鹿遗蕉 覆蕉寻鹿
樵苏不爨 樵苏失爨
修养 素养
仓库 货仓
凶恶 粗暴
全力 极力
精炼 精炼
弃文就武 投笔从戎
榜样 类型
一掷千金 穷奢极侈
钻穴逾墙 钻穴逾隙
抵赖 退却
忘记 遗忘
平心静气 息事宁人
推卸 辞让
争吵 喧闹
技巧 本领
云梦闲情 巫山云雨
解缆 起程
洗沐 洗浴
时候 时期
兵戎相见 短兵相接
微风 轻风
休息 小憩
抱负 梦想
亲昵 亲热
权术 权略
动手 着手
熙熙攘攘 肩摩毂击
节衣缩食 黜衣缩食
株连 瓜葛
吩咐 托福
外面 表面
困惑 迷惑
完好 无缺
黑洞洞 黑黝黝
郁郁苍苍 郁郁葱葱
失守 撤退
缝补 补缀
参差不齐 犬牙交错
相似 雷同
志同道合 情投意合
卒然 骤然
和善 和气
依时 按时
计划 野心
判别 鉴识
万众一心 同心同德
狗尾续 狗尾续貂
兽聚鸟散 鸟散兽聚
卵覆鸟飞 鸡飞蛋打
碰着 际遇
稀疏 零落
宽阔 空旷
小憩 打盹
不曾 未曾
昏黑 黯淡
以冰致蝇 缘木求鱼
无可置疑 毋庸置疑
凄风寒雨 凄风苦雨
夫子 孔子
哀鸿遍野 饿殍遍地
圆满 完竣
叶影参差 良莠不齐
不惜 鄙弃
养痈贻患 后患无穷
修正 纠正
含蓄 蕴藉
一心一意 一心一意
敬仰 敬佩
兼权尚计 兼权熟计
恣肆 狂妄
诳言 谎话
三言两语 只言片语
不学无术 胸无点墨
好学不倦 学而不厌
明镜高悬 高悬秦镜
造言生事 造谣生非
喜好 特长
牛骥同槽 牛骥同皂
苦口婆心 语重心长
害病 患病
挑唆 搧动
朱绂 朱黻
谴责 责骂
变动 改动
季孙之忧 祸起萧墙
核准 照准
理睬 答理
凶险 邪恶
厢房 配房
参观 游历
后果 效果
不休 不停
无病呻吟 装腔作势
不牧之地 人烟稀少
探求 根究
地点 所在
空想 逸想
充满 填塞
三心二意 心不在焉
改过自新 改过迁善
作品 着述
望风披靡 望风而逃
屈服 顺服
序文 弁言
片晌 转瞬
公有 共管
听天安命 听天由命
基本 根基
枯树新芽 死而复生
剥极将复 物极必反
华丽 靡丽
友好邻邦 礼仪之邦
结党营私 阿党比周
室如悬罄 阮囊羞涩
标准 模范
诚心 赤心
周转 盘活
人为 报酬
树怨 树敌
云行雨施 云行雨洽
含混 模糊
只怕 惟恐
历害 横蛮
扑打 鞭挞
思乡 挂家
因小见大 见微知著
自高 骄傲
接续 链接
旗开马到 马到成功
墨守成规 循规蹈矩
叫喊 呼噪
大凡 平常
古怪 奇怪
一败涂地 丢盔卸甲
卖弄风骚 招蜂引蝶
擅长 长于
伙计 店员
厌倦 厌烦
别具肺肠 匠心独具
境遇 曰镪
弹指之间 日不移晷
喜欢 醉心
三翻四复 犹豫不决
创办 创造
城狐社鼠 社鼠城狐
推辞 谢绝
潇洒 英俊
一叶知秋 尝鼎一脔
告别 拜别
束手待毙 自投罗网
三翻四复 神不守舍
想方设法 百计千谋
熟识 熟谙
懂得 知道
推心致腹 诚心诚意
刻不容缓 迫不及待
利害 利弊
听从 用命
任人唯贤 知人善用
牢狱 监牢
清翠 高昂
和蔼可亲 心怀若谷
忻悦 愉快
一牛吼地 一牛鸣地
嗤笑 戏弄
恰如私愿 正中下怀
半信半疑 将信将疑
官逼民反 逼上梁山
呆滞 滞板
末路 绝路
一字不苟 字斟句酌
悠然自得 逍遥自得
明火执仗 明目张胆
穷乡僻壤 绝域殊方
克服 治服
动人 动听
冷清 冷落
气势磅礴 气壮山河
只鸡斗酒 斗酒只鸡
体制 体系
出现 呈现
才力 才华
抱怨 衔恨
无能为力 束手无策
贵人多忘 贵人多忘事
来路不明 身分不明
返老归童 返老还童
涉猎 观赏
整体 满堂
凶相 恶相
取利 投机
怵目惊心 惊心动魄
桀骜不驯 横冲直撞
夷犹 迟疑
默化潜移 默换潜移
徒有虚名 忝窃虚名
遭遇 际遇
紧迫 遑急
返老还童 长命百岁
广博 深广
伶牙俐齿 能说会道
侵略 侵蚀
勤奋 辛苦
狐假虎威 狐虎之威
沸沸扬扬 满城风云
可耻 耻辱感
以讹传讹 耳食之言
决裂 分裂
箕引裘随 箕裘相继
抄写 誊写
一簧两舌 胡说八道
见解 见识
本来 素来
口若悬河 妙语连珠
平静 幽静
声势浩大 气势磅礡
倒退 退缩
海枯石烂 石泐海枯
宁静 清净
压榨 榨取
千钧一发 迫在眉睫
容貌 面孔
千山万壑 层峦叠嶂
提心吊胆 胆战心惊
烟草 香烟
万事亨通 万事大吉
缘由 起因
严刑峻法 秋荼密网
噤口不言 缄口不言
真理 真谛
丰润 丰满
急不择路 望门投止
活泼 活跃
诚挚 陈恳
忧惧 悚惶
不是冤家不聚头 冤家路窄
去伪存真 本来面目
熟习 闇练
结局 结束
守约 践约
祸福同门 祸福无门
感激 感谢
漫不经心 熟视无睹
绝口 闭口
八面玲珑 八面驶风
拮据 窘蹙
正中下怀 称心如意
先决 前提
期骗 欺诈
更换 调动
注视 瞩目
临盆 坐蓐
军令如山 号令如山
伤口 伤痕
冒名顶替 掠人之美
因小失大 得不偿失
捋臂将拳 磨拳擦掌
去向 行止
遗孽余烈 遗孽馀烈
以泽量尸 尸横遍野
思考 推敲
赌咒发誓 赌誓发愿
默不作声 默默无言
众目睽睽 公共场所
认真 讲究
布鼓雷门 韩门献丑
聚萤映雪 聚萤积雪
重整旗鼓 重起炉灶
发抖 股栗
听命 遵命
百无聊赖 穷极无聊
绚烂 艳丽
短少 缺少
新奇 新颖
叫喊 喧嚣
风味 风韵
采摘 采撷
得意忘形 高视阔步
主线 干线
损失 摧残
恇怯 懦弱
助威 恭维
展现 显现
典型 类型
压制 胁迫
抱负 渴望
拾人涕唾 鹦鹉学舌
简单明了 通俗易懂
顾主 顾客
夸夸其谈 娓娓而谈
主脑 领袖
文雅 高雅
娘舅 舅舅
恣心所欲 横行无忌
千均一发 燃眉之急
援救 赈济
勤劳 发愤
张罗 筹措
快捷 火速
移天徙日 移天易日
兴废 兴衰
衣锦荣归 衣锦还乡
弃甲丢盔 弃甲负弩
孜孜矻矻 孳孳矻矻
平滑 滑润
大雨倾盆 瓢泼大雨
反对 反驳
屹立 岳立
牢不可破 铜墙铁壁
宸京 畿辇
势不两立 势如水火
昏暗 灰暗
俭朴 朴素
佩服 敬重
罢免 罢黜
自郐以下 郐下无讥
泾渭不分 牝牡骊黄
枯萎 雕谢
八面威风 眉飞色舞
得不偿失 明珠弹雀
凝视 审视
好友 深交
恶人 暴徒
困难 贫苦
沉沦 腐化
劳累 疲劳
连合 连接
讨好 趋附
家园 桑梓
熊罴之士 熊虎之士
堂而皇之 明火执杖
宥免 赦免
描写 描绘
南柯一梦 梦里南轲
以外 除外
发展 生长
惬心 顺心
富贵不能淫 见利忘义
召集 纠合
团结 连结
夜以继日 焚膏继晷
允文允武 能文能武
京市 畿辇
牛骥同皂 龙蛇混杂
弥天大谎 欺人之谈
起伏 震动
培植 提拔
眉清目秀 秀外慧中
奉璧 送还
买上告下 买上嘱下
从速 即速
借故 借端
进善惩奸 进善惩恶
沂水春风 沂水舞雩
鸦雀无声 鸦鹊无声
梁上君子 穿窬之盗
教师 教练
照拂 照料
百举百全 百举百捷
乘虚而入 有隙可乘
因循守旧 因循沿袭
哽咽 哽噎
平常 往常
出神入化 目无全牛
蚌病成珠 蚌病生珠
箝制 要挟
拨草寻蛇 自讨没趣
亲切 靠拢
灵敏 聪颖
心猿意马 意马心猿
了解 知道
跌宕不羁 跌荡不羁
壮伟 雄壮
新鲜 鲜嫩
循循善诱 诲人不惓
恢弘 辽阔
消灭 销毁
自强不息 虚度年华
一枕槐安 黄粱美梦
万分 异常
变化不测 变化无常
一共 全数
作奸犯科 知法犯法
危于累卵 累卵之危
倾圯 崩裂
仆欧 侍役
寻死觅活 痛不欲生
伤痕累累 皮开肉绽
歧视 渺视
专心致志 目不转睛
自尊 自重
宏壮 雄壮
珍摄 珍重
顺从 顺服
变化多端 波云诡谲
揭破 揭穿
暗箭伤人 暗箭难防
流动 滚动
毗邻 连接
所向披靡 所向风靡
思考 思量
昏头昏脑 昏昏欲睡
列举 成列
不足为意 不足介意
加入 投入
强壮 强大
狼狈不堪 瓦解土崩
一口气 连续
妄自尊大 目无余子
风卷云涌 风起云涌
听而不闻 置若罔闻
专心致志 心无旁骛
心胸 气度
疏财仗义 重义轻财
称扬 赞颂
开卷有益 手不释卷
塞责 搪塞
光显 鲜明
力不胜任 心余力绌
灵巧 矫捷
坚守 尊从
以理服人 言之有理
情文并茂 情景交融
延误 阻误
感恩 感激
不乏其人 恒河沙数
顺利 顺手
诋毁 诽谤
庞杂 繁杂
群集 聚合
挪移 搬动
寡情 无情
言行不一 言行相反
务实 求实
如鱼得水 情投意合
豁达 豪迈
卫戍 警戒
书院 学校
仗势欺人 有恃不恐
傲视 顾盼
不朽 不灭
寂然 默默
民不聊生 民生凋敝
斋心涤虑 洗心涤虑
惹是生非 无理取闹
东主 店主
废然而返 虚此一行
分庭抗礼 和衷共济
一饭之恩 一饭千金
心猿意马 神不守舍
切齿痛恨 切齿腐心
心花怒放 欣喜若狂
硕大 高大
拂衣 拂袖
有案可稽 铁证如山
不破不立 除旧布新
挑唆 教唆
各样 百般
呈报 申诉
得心应手 驾轻就熟
义不容辞 谊不容辞
千奇百怪 形形色色
谈吐 辞吐
三位一体 水乳交融
单薄 菲薄
井底之蛙 井蛙醯鸡
不声不响 不言不语
一往直前 勇往直前
触物伤情 触目伤怀
条例 规则
平易近人 蔼然可亲
热烈 热闹
俭朴 俭省
反悔 后悔
利用 运用
按名责实 控名责实
早为之所 有备无患
农人 农夫
众口称善 口碑载道
出师 发兵
筋疲力尽 精疲力竭
风餐露宿 餐风沐雨
方针 目标
酒席 酒筵
仰慕 景仰
安安逸逸 安闲自得
让开 让路
拖泥带水 藕断丝连
愿望 期望
修饰 装点
从兹 自兹
重兴旗鼓 重振旗鼓
解释 评释
药石之言 针砭之语
雪恨 雪耻
同意 批准
退藏 隐退
朽败 腐朽
产业 资产
强弩之末 强弩末矢
纳贡 进贡
举世无双 兵强马壮
不着边际 天花乱坠
断绝 隔断
昆虫 虫豸
见所未见 闻所未闻
临河羡鱼 临渊羡鱼
卯不对榫 答非所问
十变五化 变化多端
恶积祸盈 罪孽深重
拜候 探问
解雇 除名
星罗棋布 漫山遍野
沐浴 洗浴
拜望 拜谒
年少 幼年
延迟 迟误
义愤 愤慨
接收 领受
风马不接 风马牛不相及
决别 分别
小窃 窃贼
沵澷 沵迤
急促 急忙
气克斗牛 气吞牛斗
气量 胸襟
整日 终日
患难 苦难
甘美 甜密
牙签犀轴 牙签锦轴
婚典 婚礼
活力 生机
低眉顺眼 百依百顺
合浦珠还 物归原主
单身 未婚
气概 风格
借坡下驴 见风使舵
荡然无存 荡然无遗
活灵活现 维妙维肖
地府 鬼门关
排斥 摈斥
守御 防守
才气 才调
困惑 猜疑
有名 闻名
希望 期待
慎重其事 郑重其事
熟魏生张 生张熟魏
和气 良善
平居 平日
以汤止沸 扬汤止沸
东征西讨 东讨西征
了然 清楚
事关重大 兹事体大
雄心万丈 雄心壮志
威福由己 威福自己
欢娱 欢畅
压倒一切 名列前茅
耀武扬威 胡作非为
指责 斥责
混同 稠浊
扑实 朴质
储蓄 积存
