击 拍
开 用
今 今天
伟 伟大
帮 替
协助 帮助
假装 装
恶 死
渐渐 逐渐
打破 突破
因之 职是之故
不但 非但
人员 人士
仔 儿
兼任 兼职
回答 答复
高级 高阶
出 消
浇 淋
天下 天下文化出版公司
别 差别
旧 陈
行驶 走
倘若 如若
中正 蒋公
坚 坚硬
崇 穹
清廷 满清
使 显
冲 朝
弓 弓法
料 花费
亡 过去
不 不丹
炮 鎗
备 拥有
格 格子
形 显
压 胜
水 美
之内 内
部 部分
记下来 记住
备至 爆
差 难受
书 编
循 照
判 裁
内容 物
个人 鄙人
心 心肠
尝 经验
一点儿 点儿
择 相
临 相比
愿 愿望
须 须要
用 采用
汇聚 聚
停止 弭
仍 依据
好生 精
唤 言
情感 爱情
柔 绵
下 走
研 考虑
斯 此
丹 赤
? 前言
天 日
晓 晓得
卧 躺
互相 交
天哪 天啊
岁 木
佳 好
克 取胜
不顾 撒
杆 钓鱼竿
宁 平
差 相差
父 老爹
个 单
埋 责
来 而
碰到 遇上
好朋友 经
捕 捕手
生命 生物
业 已经
为啥 何以
俞 穴道
从而 因而
建 筑
公 雄性
相当 适合
相当 适
您们 汝等
去 过
寄予 赋与
生 长
了 悟
佳 良好
切 拆
壳 屋子
新型 新式
可 祇不过
中 以内
头 首
理 理发
幕 银幕
爹 老爹
发出 表达
命 命运
何其 何等
减低 削
光 空
狠 铁
暗 黑
禅 禅位
不单单 不祇
就是 然
兴农牛 牛
匀 腾
清 清洁
微微 稍稍
少 短
传媒 大众传播
岁 年纪
好生 非常
放 窝
干净 清洁
俺 阿拉
之后 后来
位于 位处
更加 越发
为 就是
好生 特别
规则 轨
叫做 称做
不幸 屎
征 证据
备至 至为
开 投
减低 跌
市场 股票市场
观世音 观音
碰 遇上
存有 有
乱 草率
屋 房
干净 洁
当下 立
了解到 明白
环 绕
导因 致
画 绘
移 迁
保证 保险
倚 界
了解 摸
京 都
愈趋 益加
控制 操
益加 越加
白 粉
风 风气
恐 惧
同学 同窗
制 管制
偶 鄙人
赞同 赞成
抛 撒
回 回话
凌 超越
相会 见面
质 质疑
建立 成立
淡 稀
长荣 长荣大学
接近 迫
心 脑海
当时 这
仅 惟有
介 很
刚 顷
抗 防
合 得
对 就
讲 说
比 比率
研 考量
占据 据
咱家 在下
备至 煞为
肥 饱
作 泛
怨 病
吃下去 污
子女 小孩
干 睡
如若 若是
捷径 近路
出来 呈现
了 明
如果 果
兄 哥哥
伙 伴侣
临到 降临
开 花
怎 怎地
去 挂
容 貌
稻 米
逢 遇
死 透
借 借来
到家 至为
压 超越
杀 缓和
中产阶级 市民
前面 正
共识 谅解
沿路 沿途
照 牌
晋 晋级
数 数目
激 热１
必 必须
好比 比方
抓 掌握
说 说道
比较 相比
试 试试
戈 战
收入 记
国父 孙中山
脚色 腿
料 预期
不良 劣
加工 赶工
枕 相比
炸 翻
向 当
乍 刚刚
参与 预
雌 雌性
劲 状
仍 还
南韩 韩
浪 骚
木 柴
中国石油股份有限公司 中油
甘 甜
见 触
展开 舒
扒 捉
提到 说到
岔 错
孔明 诸葛亮
给 给予
弦 情感
并 并且
姊姊 姐
天天 每天
哩 迈
国产 土
杀 猛
变得 转变
小孩 小孩子
使用 花钱
等 等候
思 悬
打 拍
发现 发觉
碰 见
唯有 唯独
服 衣服
一并 一起
这儿 这边
追 追赶
俄国 俄罗斯
妈妈 老娘
帅 赞
越加 越发
应 肯
愈加 更
分角 角分
哀 悲
留 遗留下
变 变得
不仅 不但
乃 在于
帅 棒
不及 比不上
下 做出
降到 降至
向 面对
特别 相当
言 讲
路 途径
磨 鲁
冀 要
沐 浸淫
万 千
披 被
不过 只有
作 当
仅有 唯有
打 掳
古 古典
佩 折服
藻 藻类
炎 炙
扑 打
乡 家乡
叹 抱怨
中国 北平
俺 敝人
建 建设
接连 连续
一 满
是 系
宁 宁肯
为何 何故
喜 悦
斥 骂
粘 胶
可汗 汗
皂 青
档 档案
可以 容
果汁 汁
捉迷藏 躲猫猫
街 途
特种考试 特考
仿佛 像
掉 流泪
早 过往
曾参 曾子
比方 譬如
南 台南
当下 现１
包 包围
充分 够
心 胸
抚 接
弱 走
担 担心
教 育
共 分享
烘 衬
摔 跌
倘若 假如说
倘 倘若
含 蕴含
但是 然则
弯 阿
即使 就算
您 汝
洒 飘
大 拉
焦 焦点
伤 悲
华 汉
泯 洗
开始 著手
你 君
移 迁移
取 取代
彩 颜色
洗 洗钱
养 留
之外 外
值 值得
搭 连接
准 凭借
帅 部
决 决定
凭 靠
上 登
纠 纠缠
塞 背
掺 杂
亩 公亩
不予 不加
仅 仅仅
平 燕京
死１ 离去
不过 然则
美 美丽
讲话 说话
依据 凭
即时 这
屋子 房屋
乙 壹
开口 阿
正 阳
南华经 庄子
找 掘
譬如 譬如说
土地 地产
叠 折
仅 净
总 母
保有 持有
山东 鲁
包围 环绕
稳 铁定
不已 不断
夜晚 晚
心 看法
凡 合
不顾 抛
书本 卷
另 另外
作 系
简约 约
义 干
母亲 老娘
激 热
发 表达
无以为继 难以为继
指 指点
否 菜
倒 倾
功 功夫
目的 目的地
下面 以下
犬 狗
意见 调
梅 梅子
先 早
墨 墨子
叫 称做
延 推
方式 方法
女人 女生
俱 均
之至 至极
化为 转为
勃 炙
张三 某某
凸 干
建造 造
路 道
担 负
一共 总共
因 肇始
殁 走
死亡 离开
矬 笨
元 纪元
脚色 角
傍 凭
以至 甚而
当时 随后
攻击 进攻
倾 吐
灵 魂魄
一块 一块儿
生理 经
仅 只
北京大学 北大
芭 芭乐
倘若 若
提 讲到
失 错过
不过 只不过
碰到 遇
原有 固
算 罢了
惟有 祇不过
找出 找出来
吃下去 吸
一些 点
河南 河南省
家 房
本 根
洗 清洗
暴 极为
遇 遇上
吃 吃掉
著名 闻
看 睹
到家 煞
以 依照
简单 胡乱
送 送行
作 做出
恶 煞是
晓得 说
养 蓄
挖掘 觅
果 设若
对比 比率
曰 讲
肩 背
藏 藏族
搭 搭配
介 激
规画 计算
乾隆 干
悟 明白
犁 青
礼 礼经
时 辰
以外 外
同意 赞同
纵 纵使
予 鄙人
改行 转业
阻 险
观世音 观自在
乃 作
有益 益
ц▒В шои
划成 归纳
何止 岂止
弱 毙
了解 解
活 生
企 欲
款 款式
余 俺
参加 掺
禁 经
比如说 比方说
毙 离去
岂只 岂止
临 遇
晓 知道
为证 征
怀 纪
温 温度
扁 饿
能够 行
作答 答
中 中华民国
之至 毙
导因 引致
品 阶级
猪 豕
任 届
提起 讲到
况 喻
作为 当作
听 聆
遭 遭到
俞 允
沐 移
刹 庙宇
屋 房屋
明白 瞭
吓 耸
乎 在
益形 越加
兴趣 劲
子 犊
港 香港
弱 死亡
挑 挑衅
茂 鼎盛
依靠 倚
撑 支撑
俄 转瞬间
呆 笨
勺 匙
卡 比较
共同 相互
专擅 善
世 辈
罐 罐子
左 左翼
填 添
中共 共
新加坡 新加坡市
益加 益发
川 河川
设 设若
挟 混
挤 迫
扮 扮演
开放 释放
得 欲
容 色
等 等级
上 上课
戴 挂
自 自己
上海 沪
抉 挖
益形 逾
明了 解
巴 望
热中 热衷
肥胖 胖
认错 错认
白银 银
吊 钓
之至 备至
一向 雅
扛 背
润 福利
成 筑
吐出 吐出来
打 拨
记 记住
父亲 老爹
如果说 果
劣 否
使 要
娴熟 练
器 用具
煞 爆
必定 铁
转眼间 顿时
作梦 做
现时 面前
水 水费
纵使 纵然
疲惫 累
周 武周
拔 驱
汽 汽车
吃 喀
挑 肩
旁边 边
这 随即
奖励 赏
拦 面对
柔声 轻声
携 牵
咱家 阮
狭 狭隘
收入 背
讲 谓
中坜 中坜市
繁 许多
三铁 铁人三项
备至 暴
念 思想
使得 容许
如果说 若
投 放映
愈趋 更形
一定 稳
介 非常
江 河
引致 致
期望 许
丢 掉
剧 迅速
指示 示
清洗 除去
回纥 维吾尔
轨 道
打瞌睡 盹
师 师范
不要 免
妈 妈祖
东西 物
亮 美
如 有如
做 解决
愚 敝人
筹 计
亡 毙
当下 当前
小 撒
有些 有点儿
拢 攒
洁 清洁
好生 粉
如 果
开 开放
这样 那么样
碰 遇见
杀 盛
狠 狠狠
更形 逾
叟 老人
海豚 豚
浴 澡
三民主义 主义
其它 残
索 要
羽 鸟
中山 孙
业 资产
管道 路
英哩 迈
之余 以外
分类 归纳
明 明年
一样 同样
吃下 耗费
打结 系
偷 拨
太太 妇
施 涂
当时 立刻
冀 希望
强 硬
丹 丹麦
爆 至极
员 民
轮 轮船
建筑 建筑物
依靠 凭
温 温和
去 回去
煞为 盛
思 想要
展示 示
约 约束
以上 前
债 欠
漏 脱
准备 办
不必 甭
卷 编
离去 离开
螺丝 螺旋
到家 暴
朽 腐坏
再 又
冲 望
严 严峻
带有 拥有
必然 铁定
加热 热
儿 龙
悲 悲悯
智 智慧
务 势必
顷 顿时
撑 撑竿
假 假藉
勺子 杓
蒙 蒙古语
基督教 新教
全部 悉皆
锦 锦州
大 大大
同志 玻璃
极 透
存 生存
多多 很多
分析 剖
关系 原因
盲 瞎
展开 开放
地 的
依 视
差距 相差
映 烛
示 表达
浅 稍稍
前 昨
一家 家人
文字 文章
拉 落
啖 用
利 好处
弦 情绪
如 如同
貌 面目
吹 夸
只不过 然而
规划 计划
皂 鸦
到家 绝顶
护 维护
至少 起码
牙 牙齿
吉 吉林市
腐 腐朽
崇 崇拜
中国 大陆
假若 若
开 营业
临 碰
即 就是
煞为 绝
发生 生
角 角色
盼 许
侬 您
用 花费
研究 考量
愈来愈 递
以 按照
心 心地
及时 顿
补贴 贴补
言 说
作 创
屈 窝
蒋 蒋经国
不管 无论
割 镌
凭据 征
逢 遇见
不只 非但
予 赋与
带 挂
看成 视为
归属 放
薄 逼
供 供给
不良 坏
及时 马上
比如 比方
吃 食
买下来 购买
当 当作
榜样 范
净 花脸
极 至极
工 精专
仔 子女
不但 不单
加 加拿大
向来 素
气 水蒸气
拔 摇
文字 笔触
志 志愿
补贴 贴
买 置
假如说 脱
极 煞为
开放 放出
做 做梦
胶 黏
亲 父母
亨 顺
假如说 若
急 疾
印 反映
冲 洗
宗 路
只 唯有
挑 背
依据 靠
因此 是以
屈 弯
毙 至为
搓 擦
申请 请
想要 索
俱 咸
年 年龄
便是 系
严峻 重度
清 清廷
检 检察官
火 牛
到底 究竟
彩 色
拍手 鼓掌
备至 极
迈 陈
发放 放
不良 逊
异常 甚
愈发 更
但是 然而
刹那间 顿时
倚 邻
挪 迁移
颁 颁发
拍 摄
世界 最
即已 拢
岁 木星
极 盛
庄子 村庄
拦截 阻止
一家子 阖家
偏 重
娃 子
为 即
修 医
不止 非但
共 合
逐 随著
脸 面目
傻 怔
咱家 阿拉
传播 传递
死亡 殁
粪 衰
封蔽 掩
开 开倒车
公 特
秋 秋季
益加 逾
情 雅
好比说 譬如说
完全 彻底
孬 恶
美 美国
作 视作
建造 筑
冲 往
夸 颂
灌 灌肠
利 息
朱 赤
打 打尖
倚 接
随 随著
生存 生还
熄 驱
用 进
按照 据
偏 顷
转为 转成
一点儿 一点点
拉 搭
回去 弱
中 之内
事 务
擅于 长于
妞 妹
保 保险
条 途径
棒 正
姊 姊姊
师 教
境 范围
合同 契约
无量寿佛 阿弥陀佛
忽 突然
或 抑是
大 硕
即时 马上
刷 突
念书 读书
法 法家
华 大陆
权 权利
允许 许可
水 秀
他们俩 他俩
今天 现
卡 角
做出 打
流 路
好 完
满 满族
披 翻
刑 刑事
水 水域
国民身分证 身份证
体 基
分析 剖析
油 油品
行 走
屎 恭
另 另行
可以 得
端 面
以为 认为
儿子 男生
分成 划成
留 留学
与 和
备受 深受
全部 悉数
动手术 开
煞为 至极
收入 收录
阻挡 障
去 驱
乘 装
盐 盐巴
成长 滋
都 首都
胡 胡乱
斯 这边
源 能
灭 除去
书 书本
规 规则
假使 要是
究竟 终究
说 说法
存在 活
筑 造
基本 立基
保存 记得
准 务
不消说 不说
拿 挟
巴 期许
卜 预测
心态 心情
善 精于
钥 锁
知 知道
中山 孙逸仙
庄 村落
果 若是
可 可是
沐 澡
扳 板
含有 涵盖
旋 转
死亡 逝
个别 单独
溜 滑
其余 其它
穷 荡
完 得
吃 吃下去
以致于 致
上 附
出 舒
看看 睹
再见 掰
化 化妆
请 雇
例如说 比如说
抟 聚
净 单
尝 经过
择 选
一些 一点儿
擦 施
打 绑
财务 财政
亡 挂
规画 计
破 突
老 非常
奥 臭
请 邀请
子 您
何 如何
最多 至多
因 导因
傲 跩
股市 股票市场
机 飞机
脚 脚色
毒 病毒
乏 疲惫
大多数 大部份
生态 生态学
取胜 赢
偏偏 就是
奇 非常
遭 遭殃
如若 若
东西 横
地方 点
下 降
一般 常
日 白天
清华 清大
离去 过去
了 了解到
呈 泛
鸣 鸣叫
要 须
允许 准
家人 阖家
故而 职是之故
辅仁 辅仁大学
帅 酷
珍 珍惜
界 相比
呈现 展现
考虑到 顾及
唤 唤起
引以为惕 引以为鉴
定 铁
生 生疏
恕 贷
即 系
毒物 病毒
当时 立即
入 符合
旧 迈
仿佛 好像
时 机会
全心 全心全意
碰 逢
如果 要是
抉 挑
后秦 秦
活动 运动
周 星期
公众 大众
所以 故
师 效
子女 孩子
网 网路
墨 败
打 譬喻
攻 轰
肩负 背
吃 吸
捐献 捐赠
擅于 长
极其 极端
看 阅
喻 比
我 本
冠 冠礼
修理 宰
星期 礼拜
吹 飕
睹 阅
甘 甘心
挖掘 探讨
得 逢
岔 误
斯 这儿
警 警告
毕 毕业
看 诊治
莫非 难道
估 估价
皮肤 肤
不但 不祇
流 流派
相继 连
按 按捺
不能 不许
对 对于
望 面临
昆 昆明
部 部份
买下 置
挖 掘
良 良好
对比 比值
挑 提
尝 试
刑１ 杀
与 兼
南韩 韩国
业 财产
掌握 控制
上 挫
回 回旋
为甚么 何故
合乎 适
昨天 昨日
医 治
婚 婚姻
挨 遭到
果 真的
冲 泡
沐 灭
经 经济
成长 迈
优秀 杰
不过 惟有
高市 高雄市
候 等候
稳 稳定
收入 薪
好些 很多
以迄 直到
呆 蹲
闷 龟
人才 才
客户 顾客
哪 如何
匙 汤匙
坚 确
下属 所属
消失 灭
伴 伴随
似 似乎
小组 组
搓 施
固 本来
极为 至极
甚且 而且
沈浸 泡
抵 顶
强 水泥
仅仅 但
一点点 点
机 机械
尝试 尝试
殁 离开
死亡 走
点燃 燃
存 背
热 热身
亦 载
之后 而后
相会 见
收入 留
打 打蛋
僧 衲
劳 敝
更 越加
冬 岁
偶 本人
云门 云门舞集
公 爷爷
愈益 更
亮 漂亮
罢了 而已
注目 注视
做 当做
交换 易
拍 照相
深 激
报 报应
闯 闯祸
明 瞭
费用 资
毒害 药
利益 惠
亡 去
会 会儿
很多 许多
变化 变得
更形 益
规 轨
怒 怒气
凭借 据
依 循
惟有 惟独
软 软性
国民身份证 身分证
提 谈到
叫作 唤
意思 谓
进 进来
地 陆地
凭据 据
不仅 不止
甚或 甚而
珍 羞
父 爹
恋 爱
常常 经常
哪里 安
胜 胜过
言 语
昏 黑
使得 肇致
印证 应
漫 遍及
一些 少许
瞬 转眼间
苏维埃社会主义共和国联邦 苏联
以 依据
卷 考卷
麦克 麦克杰克森
本人 鄙人
玩 耍
妨碍 碍
公公 爷
俺 在下
焚 然
便是 就是
作 作梦
加 的
抽 调派
苏 苏东坡
取 拿
儿时 幼
何等 啥子
表明 表示
具 具有
升 提高
之至 爆
专擅 精
抗 拒绝
戴 戴高帽
不容 不能
实是 真
乐 喜欢
益加 益形
倾 尽
真 真实
体 身
绕 缠
太太 妻
乱 很
买 买下
旁 边
发芽 抽
尊敬 敬
一再 频频
急忙 急急忙忙
挡 阻止
方案 案
传播 媒体
筋 韧带
唤起 喊
花 费
存 存档
北 败
判 判决
做 干
人 人员
角 部
生 病
凑 聚集
垢 污
为什么 因何
尽 老是
妈咪 老娘
呜呼哀哉 哀哉
娘 母
弭 止
分隔 隔
意即 意味
愉 愉快
升级 增高
不仅 不单
得到 获得
但是 可是
以为 道
弄 生出来
激 狠
愈趋 越加
逐 随
下降 落
催促 敦促
悉皆 满
留 遗留
然 燃烧
倘 假若
恭 恭敬
昌 生
不可 不许
危 有害
包容 纳
用 花钱
娘 婆
祥 禧
盘 盘子
厂 工场
发源 源自
死 至极
建筑 造
内行 在行
休 关门
折 败
恶 粗
罚 罚球
中山 中山女中
会 晓得
随即 顿
颜 颜色
了解 明
之下 以下
孔丘 孔子
带 溜
腿 角
贼 超级
吃 咬
冰 冻
喊 嚷
不光 不只
灵魂 魂魄
土 土星
转瞬间 顿时
佳 嘉
原因 故
漏 落
种 类
意 感情
丧 失去
罢 罢了
操 操心
雄 雄性
立刻 这
乱 相当
乱 粉
快速 迅速
建立 打
假使 设
善 长于
仔细 详
超过 逾
大众传播 媒体
色 部门
期 盼
佛 佛祖
打 评
小时 幼时
耀 荣耀
木兰 木兰花
抹 施
吃下 烧
掉 脱
派 流派
走到 达
深 贼
暴 极
呈 露
凌 超
作为 做
腿 角色
亩 市亩
标 标示
储存 存放
沉浸 泡
答应 肯
叫 曰
暴 极了
仍 依然
现 现时
卷 躬
倘 要
家 屋子
发电厂 电厂
克 胜
人员 人物
比 比喻
丑 陋
极为 煞是
请 邀
蓬 飞蓬
儿童 小朋友
存放 存放款
废 粪
恶 至为
庆 贺
挂 过去
国小 国民小学
黏 黏附
无 无论
谈到 谈起
当做 视作
漂 漂亮
情谊 雅
肥 肿
保 维持
功 效
人参 参
反映出 映照出
从不 未曾
娘 娘娘
定 肯定
母 阴
恒 永远
成功 成功大学
悉数 悉皆
著名 闻名
妻子 室
呈现 泛
别 拜
抵 拒
莎士比亚 莎翁
变 变化
倾心 全心全意
季 季节
想不到 讵料
志 纪录
逐 驱
妆 嫁粧
困 累
使用 采
然则 然而
马 马克斯
售 销售
北 落败
比较 较
产 产量
列 陈
上山 上簇
星 星星
一定 相当
估 估计
坏 难过
提 杓子
考 试
生意 生气
呆 愚
底 艺
剩 剩余
仅 仅只
落 跟不上
苏 苏州
行 行为
作 打
使 如果
上天 神
整 满
息 歇
杀 毙
作 就是
脱 要是
爹地 老子
全然 完全
跌 跌倒
特别 特意
特 粉
扯铃 铃
心情 情感
匝 圈
先 先行
市 集
光 光波
唤 称做
圈 带
范 表
划分为 划成
勺 杓子
一点 半点
投 投缘
建立 造
泡 浸泡
任意 浑
设 设定
孝 孝顺
探究 探讨
干什么 干吗
中 台
步 脚步
抚 相比
如 设若
印 映
私下 私底下
今 面前
佛 佛教
料 费用
妈妈 娘
已 已然
愈加 愈趋
叫做 言
做 行
人 人类
准备 计算
当前 面前
深 特
色 颜
休 息
列出来 陈
仗 役
候 占
拙 朴实
布 老布希
秦始皇 秦王
回答 答
发 头发
拎 提
以前 前面
对 面对
偶 咱家
绵 绵延
杀 煞为
凉 西凉
梅树 梅花树
使 若
型 部门
领 领口
看法 见
且 而且
悲 悲
匮 差
小 尿
农 农夫
上 上去
特 特种考试
厨房 灶
呈 形
属下 部下
事先 逆
云林 云林县
据 紧
败 赢
专擅 擅
妈呀 我的妈呀
匙 杓
缩 缩短
人 郎
止 绝
检 检察署
气 生气
抱 搂
偶 在下
只不过 可
平静 缓和
益 益形
吃下 打下
吞 吞下去
亦即 便是
绵 软
关 闭
始 才
后 后面
价值 意
排行 行
略 稍微
具 负
更形 越发
简而言之 简言之
接 界
减 减少
凿 挖
就 靠
崇 隆
干么 干吗
更形 益加
活 活生生
征 象征
朽 糟
哪里 岂敢
擅 精于
影 遮
得 得到
推移 移动
偏 注重
精专 精于
准 势
见 见面
宗 派
即 旋
得 获得
寻找 掘
予 给与
价 价格
便 即
直到 迄于
不错 佳
现在 面前
稍微 稍稍
稻 稻子
形 状
一一 陆续
吼 吼门水道
升 增长
北平 大陆
甚至 甚至于
勺 调羹
倾 倾向
则 就
比如 比如说
深 茂
存 记下来
合 合乎
打开 放
占 略
广大 泛
但 但是
筹 谋
正好 适
绝 至为
乍 忽
向 素
怪 相当
弄 玩
勤 恒
庄子 村落
忽然 猛
纪 辈
孩子 小孩子
密切 紧
曹 曹操
建造 构
说 道
更 益
比较 相较
浪漫 浪漫主义
不一定 不见得
倘若 如果
旋 这
农 农民
秀 美丽
好些 许许多多
仗 战
代 替
收 收入
月 月球
存 存放
崩 崩溃
使 使用
为啥 何故
世纪 时代
仍 犹
增高 提高
卖 销售
最少 起码
刚 坚
要 重
为什么 何故
就 是
回复 覆
复杂 繁
陆 陆军
交 交给
看法 眼睛
打 点点
费用 钱
脱 设
何等 胡
遮 隐
候 征
像 如同
变 改变
显 显露
又 搁
东吴 东吴大学
怀 秉
得 碰到
给予 赋
仍旧 犹
沓 配
处于 处在
上升 提高
成立 立
妈 妈咪
洗澡 浴
怕 约莫
缘 顺
同时 而且
文 文读音
以往 过往
嘉 良
伤害 毁
家 流
子女 小孩子
行 闹
卸 除去
托 烘
撤 灭绝
瓜 瓜地马拉
压 赛
情 情谊
崇 耸
兴奋 盛
极为 爆
国产 国内
凉 撒
售 贩卖
松 疏
协 协调
备至 极了
挡 障
乌 犁
编 编成
人家 阿拉
不容 不许
弄 进行
强 强迫
吃 烧
亡 离开
下 次
看法 眼
中山 国父
假如说 要
倾 偏离
中 得
忙 急忙
明白 清楚
世 全球
用 食
包含 带
中华 岛
厂 工厂
亮 清
依据 照
从不 从未
再 搁
这 这里
恍神 晃
踢 踢馆
卷 轴
做 杀
翻译成 译
可 大概
缠 追
发 放
丢 抛
冲 对
摔倒 栽
补给 补给品
啥子 甚
习 学
拉 脱
煞 煞是
准 铁定
原文 外文
照 照相
灾 难
便于 俾利
例如 比方说
事 工
废 放弃
决 断
合 配
均 都
备至 死
拦 面
予 愚
好比说 比如说
什么 何等
忖 思想
政治 政治学
对 往
疼 痛
破 解
打算 计算
人家 敝人
庄子 村
昏 暗
分 分角
授 育
以至 以至于
路程 途
大致 大致上
几 多少
哪 孰
始 开始
胀 饱
似乎 恍
灌 灌篮
辅仁 辅大
筹 计划
勉 鼓励
费 钱
人类 员
卧 隐居
必然 稳
念 想
国外 外国
冀 河北省
呈献 献
减轻 降低
点燃 鼓
老 长
原有 原本
去１ 离去
令 酒令
怔 痴
收 收拾
觉 觉得
勿 无
亦即 系
及至 迄于
看做 看成
差 派
单 孤
翁 舅
制 构
报 报告
收 收盘
毛 毛泽东
按照 照
宗 流
物种 种
但 只
好生 深
开 驾
背 记
属下 所属
往来 过往
责 责任
差 菜
要 要么
准线 标准
妻 房
帛 帛琉共和国
商 秋
敝 累
如果 脱
休 美
子规 杜鹃
动 开
回去 离去
孤 惟一
心痛 痛
打开 杀
仔 孩子
倔 牛
佩 佩服
老 陈
回去 离开
煞是 绝顶
原 原来
壳 房
堂 课堂
兄弟象 象
儿 儿童
爬 爬文
为 是
一生 生
大多数 大部分
但 祇不过
持 持有
挑 相
丰 滋
不单 非但
以至于 致
女孩 妹妹
背 违背
专擅 精专
友好 知识
教授 育
打 揍
反弹 弹
随 顺著
依照 视
挡 阻挡
估计 推估
知道 说
华 台湾
享 祭
岂敢 那里
水体 水域
摊 撒
写 呈
糟 腐朽
惠 福利
寸 英吋
小镇 镇
急 急性
风 风格
加入 进入
了 了解
部门 项
中心 心脏
姐 姐姐
看 看看
利 利益
以至 甚或
俺 本人
不同 异
况 况且
恶 讨厌
之后 以往
导因 缘
尽 胜
利 惠
因此 所以
写 显露
为啥 何为
抱 持
害怕 惧
不良 菜
放 释
益 逾
乱 捣
到家 煞为
卜 测
况 比喻
出生 诞生
防 防患未然
微微 稍许
吃 啖
希望 思
带有 蕴含
率领 部
容 面目
如若 果
甜 香
打盹儿 打瞌睡
死 离去
势必 必
芳 英
观音 观音大士
脚 腿
到处 四处
尽 穷
刻 现
及时 立刻
推动 推进
映 照射
比起 较之
期许 盼望
持 秉
上 呈
安徽 安徽省
果 脱
营 营地
全 悉数
慌 翻
即令 就算
梅 梅花
早 过去
对 符
劲 样子
痴 笨
指 指望
探究 究
哑 沙
均 毕
详 载明
不但 不光
悟 明
报 报纸
之内 里面
一律 一致
比如说 譬如
客 客家
摘 采
修 改
伊 伊拉克
房子 房舍
苏 苏澳镇
师范 范
盛 透
躲 闪
减少 减弱
璧 还
淡 淡水
矬 蠢
发 发放
得 适
临近 接近
约 约会
失 消失
不单 不祇
深 重度
亚洲 亚细亚洲
唯独 惟有
反映 映
差 缺
愈发 益
捷 胜
假如 如果说
力 劲
乘坐 坐
假若 如若
换 换成
打 立
职业 行业
离开 走
丢 弃置
拜 掰
多多 好多
丁 男人
除 除了
严重 深
吃下 挨
多 许多
撑竿 杆
抠 照抄
孰料 没想到
总数 总量
原先 固
沓 配合
暴 煞为
转为 转化为
流 等
扭 转
界 界线
嫩 粉
力量 效力
业 已
情 意
张贴 挂
本金 资
财产 资产
会 见
旧 老
搭 赔
恶 毙
打结 纠缠
把 拿
只有 独
隐 隐约
上面 以上
可 然而
中 内
十足 极其
要不 要不然
且 甚且
光 光荣
清 满族
改为 改成
利润 利益
倚 相比
业 产
窥 览
出 出自
工作 职业
下 之下
印象 印象主义
以前 前
引 引起
贷 贷款
再不然 要不
乱 好生
驱 驱逐
任 担任
修 整容
大伙 大伙儿
炎 热
批 批评
时报鹰 鹰
粉 老
以至于 甚至于
倒 反
经 经由
致谢 谢
树 立
深 相当
减低 降低
坏 难受
不料 讵料
挖 挖出来
抗 敌
肥 胖
减 降低
好生 激
从 顺从
了解到 解
南 港
作 作品
眼袋 袋
二十 廿
我 本人
加入 进
抱 抱持
好些 好多
杜宇 杜鹃
优 良好
有一些 有一点
沉浸 沐
投 投资
慢慢 逐渐
对 是
合成 组合成
清洗 灭
经由 经过
娘 嬷
再 更
光 秃
称 称作
便 就
江苏省 苏
正 纠正
之后 后
抵达 走到
抽 萌
尾 结尾
关 有关
整 规则
中华民国 台
包含 涵盖
典 管
不可以 不能
派出 派遣
实 实在
妈妈 母
公 舅
不要 甭
开 费
爷 老爹
惹 滋
尊 尊敬
后 子孙
势必 铁
就 就是
敍 聊
普通 通常
刀 手术
听 闻
妇女运动 妇运
固有 既有
丈夫 先生
妈咪 母亲
深 超级
侬 汝
录 纪
地区 角落
特 特务
就是 然则
变成 转变为
冲击 击
墨 输
最早 首
师范 模范
徐 缓慢
绝 陡峭
依然 犹
道 道路
乌龟 龟
去 移
煞是 至为
传播 大众传播
干 弄
贵 贵州
价值 值
不法 非法
吃下 污
包容 容纳
木兰 木笔
宫 宫殿
阶 阶段
暂 暂时
到 达
废 腐
哭 泣
倘若 要
恐惧 詟
气 生
像 若
刷 抹
种 色
称 称呼
开 开会
好 良好
何 哪里
大半 泰半
成 成就
离去 逝
将军 将军乡
势 屌
人员 子
情 情感
洗 除去
留 记下来
人家 余
使 假如说
型 种
叫做 称为
干 干部
需 需要
发 释
打 打瞌睡
容 容貌
匕 汤匙
曰 称呼
坏 爆
泡 追求
专擅 善于
率先 首先
先生 医师
旅行 游
搁 添
爱 珍
柴 糟
乃至于 甚至于
即 马上
破 破旧
甩 鸟
丘 孔子
截 段
盖 超越
羽 翼
基础 本
一块儿 相互
习惯 惯于
拉 漏
终 闭
夫 婿
好比 譬如说
现在 眼前
孬 糟
卖 售
劣 柴
待 等到
按 照
给 赋予
怪 激
启 始
使 投入
镜 镜子
脉 脉搏
抉 选择
乐 喜好
省下 省下来
奥斯卡 奥斯卡金像奖
俊 帅
急速 激
情况 状况
弹子 撞球
占领 据
教 让
抛 晾
取胜 捷
优 良
位处 处于
注 赌注
拢 梳
格 障
关切 打招呼
即 立
怕 惧
特 特考
卵 卵子
土 泥土
以下 稍后
扬 洒
侵蚀 啮
刚 硬
想不到 意想不到
很 特别
别 麦
当时 立
卖 销
依 靠
沈 重
王右丞 王维
擅 精
惠 有利于
吃下去 歪
敝人 阮
入 收入
拦截 挡
乌 青
则 那么
不过 仅仅
些许 有些
